IS,temp,interaction_type,count,total_edges_with_mass,prop,total_edges_all,mass_coverage
6,22.7,pred_smaller,0,,,,
7,22.7,pred_smaller,0,,,,
8,22.7,pred_smaller,0,,,,
9,22.7,pred_smaller,0,,,,
10,22.7,pred_smaller,0,,,,
11,22.7,pred_smaller,0,,,,
12,22.7,pred_smaller,0,,,,
13,22.7,pred_smaller,0,,,,
14,22.7,pred_smaller,0,,,,
16,22.7,pred_smaller,0,,,,
1,22.7,0-2,19,187.0,0.10160427807486631,223.0,0.8385650224215246
3,22.7,0-2,0,,,,
4,22.7,0-2,0,,,,
5,22.7,0-2,0,,,,
6,22.7,0-2,0,,,,
7,22.7,0-2,0,,,,
8,22.7,0-2,0,,,,
9,22.7,0-2,0,,,,
10,22.7,0-2,0,,,,
11,22.7,0-2,0,,,,
12,22.7,0-2,0,,,,
13,22.7,0-2,0,,,,
14,22.7,0-2,0,,,,
16,22.7,0-2,0,,,,
1,22.7,2-4,20,187.0,0.10695187165775401,223.0,0.8385650224215246
3,22.7,2-4,0,,,,
4,22.7,2-4,0,,,,
5,22.7,2-4,0,,,,
6,22.7,2-4,0,,,,
7,22.7,2-4,0,,,,
8,22.7,2-4,0,,,,
9,22.7,2-4,0,,,,
10,22.7,2-4,0,,,,
11,22.7,2-4,0,,,,
12,22.7,2-4,0,,,,
13,22.7,2-4,0,,,,
14,22.7,2-4,0,,,,
16,22.7,2-4,0,,,,
1,22.7,4-6,119,187.0,0.6363636363636364,223.0,0.8385650224215246
3,22.7,4-6,0,,,,
4,22.7,4-6,0,,,,
5,22.7,4-6,0,,,,
6,22.7,4-6,0,,,,
7,22.7,4-6,0,,,,
8,22.7,4-6,0,,,,
9,22.7,4-6,0,,,,
10,22.7,4-6,0,,,,
11,22.7,4-6,0,,,,
12,22.7,4-6,0,,,,
13,22.7,4-6,0,,,,
14,22.7,4-6,0,,,,
16,22.7,4-6,0,,,,
1,22.7,>6,27,187.0,0.1443850267379679,223.0,0.8385650224215246
3,22.7,>6,0,,,,
4,22.7,>6,0,,,,
5,22.7,>6,0,,,,
6,22.7,>6,0,,,,
7,22.7,>6,0,,,,
8,22.7,>6,0,,,,
9,22.7,>6,0,,,,
10,22.7,>6,0,,,,
11,22.7,>6,0,,,,
12,22.7,>6,0,,,,
13,22.7,>6,0,,,,
14,22.7,>6,0,,,,
16,22.7,>6,0,,,,
1,23.7,pred_smaller,0,,,,
3,23.7,pred_smaller,1,186.0,0.005376344086021506,231.0,0.8051948051948052
4,23.7,pred_smaller,0,,,,
5,23.7,pred_smaller,0,,,,
6,23.7,pred_smaller,0,,,,
7,23.7,pred_smaller,0,,,,
8,23.7,pred_smaller,0,,,,
9,23.7,pred_smaller,0,,,,
10,23.7,pred_smaller,0,,,,
11,23.7,pred_smaller,0,,,,
12,23.7,pred_smaller,0,,,,
13,23.7,pred_smaller,0,,,,
14,23.7,pred_smaller,0,,,,
16,23.7,pred_smaller,0,,,,
1,23.7,0-2,0,,,,
3,23.7,0-2,16,186.0,0.08602150537634409,231.0,0.8051948051948052
4,23.7,0-2,0,,,,
5,23.7,0-2,0,,,,
6,23.7,0-2,0,,,,
7,23.7,0-2,0,,,,
8,23.7,0-2,0,,,,
9,23.7,0-2,0,,,,
10,23.7,0-2,0,,,,
11,23.7,0-2,0,,,,
12,23.7,0-2,0,,,,
13,23.7,0-2,0,,,,
14,23.7,0-2,0,,,,
16,23.7,0-2,0,,,,
1,23.7,2-4,0,,,,
3,23.7,2-4,9,186.0,0.04838709677419355,231.0,0.8051948051948052
4,23.7,2-4,0,,,,
5,23.7,2-4,0,,,,
6,23.7,2-4,0,,,,
7,23.7,2-4,0,,,,
8,23.7,2-4,0,,,,
9,23.7,2-4,0,,,,
10,23.7,2-4,0,,,,
11,23.7,2-4,0,,,,
12,23.7,2-4,0,,,,
13,23.7,2-4,0,,,,
14,23.7,2-4,0,,,,
16,23.7,2-4,0,,,,
1,23.7,4-6,0,,,,
3,23.7,4-6,124,186.0,0.6666666666666666,231.0,0.8051948051948052
4,23.7,4-6,0,,,,
5,23.7,4-6,0,,,,
6,23.7,4-6,0,,,,
7,23.7,4-6,0,,,,
8,23.7,4-6,0,,,,
9,23.7,4-6,0,,,,
10,23.7,4-6,0,,,,
11,23.7,4-6,0,,,,
12,23.7,4-6,0,,,,
13,23.7,4-6,0,,,,
14,23.7,4-6,0,,,,
16,23.7,4-6,0,,,,
1,23.7,>6,0,,,,
3,23.7,>6,36,186.0,0.1935483870967742,231.0,0.8051948051948052
4,23.7,>6,0,,,,
5,23.7,>6,0,,,,
6,23.7,>6,0,,,,
7,23.7,>6,0,,,,
8,23.7,>6,0,,,,
9,23.7,>6,0,,,,
10,23.7,>6,0,,,,
11,23.7,>6,0,,,,
12,23.7,>6,0,,,,
13,23.7,>6,0,,,,
14,23.7,>6,0,,,,
16,23.7,>6,0,,,,
1,24.6,pred_smaller,0,,,,
3,24.6,pred_smaller,0,,,,
4,24.6,pred_smaller,0,,,,
5,24.6,pred_smaller,0,,,,
6,24.6,pred_smaller,0,,,,
7,24.6,pred_smaller,0,,,,
8,24.6,pred_smaller,2,137.0,0.014598540145985401,173.0,0.791907514450867
9,24.6,pred_smaller,0,,,,
10,24.6,pred_smaller,0,,,,
11,24.6,pred_smaller,0,,,,
12,24.6,pred_smaller,0,,,,
13,24.6,pred_smaller,0,,,,
14,24.6,pred_smaller,0,,,,
16,24.6,pred_smaller,0,,,,
1,24.6,0-2,0,,,,
3,24.6,0-2,0,,,,
4,24.6,0-2,0,,,,
5,24.6,0-2,0,,,,
6,24.6,0-2,0,,,,
7,24.6,0-2,0,,,,
8,24.6,0-2,13,137.0,0.0948905109489051,173.0,0.791907514450867
9,24.6,0-2,0,,,,
10,24.6,0-2,0,,,,
11,24.6,0-2,0,,,,
12,24.6,0-2,0,,,,
13,24.6,0-2,0,,,,
14,24.6,0-2,0,,,,
16,24.6,0-2,0,,,,
1,24.6,2-4,0,,,,
3,24.6,2-4,0,,,,
4,24.6,2-4,0,,,,
5,24.6,2-4,0,,,,
6,24.6,2-4,0,,,,
7,24.6,2-4,0,,,,
8,24.6,2-4,11,137.0,0.08029197080291971,173.0,0.791907514450867
9,24.6,2-4,0,,,,
10,24.6,2-4,0,,,,
11,24.6,2-4,0,,,,
12,24.6,2-4,0,,,,
13,24.6,2-4,0,,,,
14,24.6,2-4,0,,,,
16,24.6,2-4,0,,,,
1,24.6,4-6,0,,,,
3,24.6,4-6,0,,,,
4,24.6,4-6,0,,,,
5,24.6,4-6,0,,,,
6,24.6,4-6,0,,,,
7,24.6,4-6,0,,,,
8,24.6,4-6,82,137.0,0.5985401459854015,173.0,0.791907514450867
9,24.6,4-6,0,,,,
10,24.6,4-6,0,,,,
11,24.6,4-6,0,,,,
12,24.6,4-6,0,,,,
13,24.6,4-6,0,,,,
14,24.6,4-6,0,,,,
16,24.6,4-6,0,,,,
1,24.6,>6,0,,,,
3,24.6,>6,0,,,,
4,24.6,>6,0,,,,
5,24.6,>6,0,,,,
6,24.6,>6,0,,,,
7,24.6,>6,0,,,,
8,24.6,>6,29,137.0,0.2116788321167883,173.0,0.791907514450867
9,24.6,>6,0,,,,
10,24.6,>6,0,,,,
11,24.6,>6,0,,,,
12,24.6,>6,0,,,,
13,24.6,>6,0,,,,
14,24.6,>6,0,,,,
16,24.6,>6,0,,,,
