Scenario,Foodweb,Version,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,SourceColumn,ReferenceColumn,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
tau0p90_checkconnfalse,CR2P2,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.117508417508,0.118771043771,0.001262626263,0.115614478113,0.120664983166,0.118134680135,0.118134680135,0.00110736715899,0.000156605365477,0.122558922559,-0.00442424242432,-0.0360989010995
tau0p90_checkconnfalse,CR2P3,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.146423751687,0.148448043185,0.002024291498,0.14338731444,0.151484480432,0.147206477733,0.147291305186,0.00153993071716,0.000219990102452,0.151147098516,-0.0038557933298,-0.0255102040837
tau0p90_checkconnfalse,CR2P4,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.111764705882,0.114285714286,0.002521008404,0.107983193276,0.118067226892,0.113260504202,0.113260504202,0.00184647746748,0.000261131347713,0.116806722689,-0.00354621848734,-0.0303597122298
tau0p90_checkconnfalse,Canton Creek,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.053565471226,0.053857381151,0.00029190992495,0.0531276063386,0.0542952460384,0.0537281067556,0.0537281067556,0.000211128859138,2.98581296001e-05,0.0589658048374,-0.00523769808176,-0.0888260254601
tau0p90_checkconnfalse,Caribbean Reef,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,2,48,50,25,1,0.051314966591,0.0515083440308,0.0001933774398,0.0510249004313,0.0517984101905,0.0514097626806,0.0514106267075,0.000142533786014,2.05729799309e-05,0.0543102597018,-0.00289963299432,-0.0533901515154
tau0p90_checkconnfalse,Carpinteria,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.129451650943,0.129913522013,0.00046187107,0.128758844338,0.130606328618,0.129690251572,0.129690251572,0.00032718777386,4.62713387236e-05,0.139426100629,-0.00973584905668,-0.0698280236825
tau0p90_checkconnfalse,Cascade lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0890756302521,0.0915966386555,0.0025210084034,0.085294117647,0.0953781512606,0.0903025210084,0.0903025210084,0.00167388442343,0.000236723005346,0.0966386554622,-0.00633613445379,-0.0655652173913
tau0p90_checkconnfalse,Chesapeake Bay,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,6,44,50,25,1,0.0551352797874,0.0553853536099,0.000250073822525,0.0547601690536,0.0557604643437,0.0551888380334,0.0552691670134,0.000167903074303,2.53123408459e-05,0.0578731728924,-0.00260400587899,-0.0449950425879
tau0p90_checkconnfalse,Chilean Intertidal Curaumilla,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.1142643764,0.11480115758,0.00053678118,0.11345920463,0.11560632935,0.114466019417,0.114466019417,0.000361486703208,5.11219398294e-05,0.124906646751,-0.0104406273336,-0.0835874439444
tau0p90_checkconnfalse,Chilean Intertidal El Quisco,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.121683168317,0.122277227723,0.000594059406,0.120792079208,0.123168316832,0.122,0.122,0.000427615741424,6.04739981006e-05,0.133168316832,-0.0111683168318,-0.0838661710044
