Foodweb,EcosystemType,N_nodes,N_edges_total,N_edges_backbone,Backbone_edge_fraction,N_backbone_nodes,Backbone_node_fraction,HighDeg_threshold_total,N_highdeg_total,N_highdeg_backbone,Prop_highdeg_total,Prop_highdeg_backbone,Mean_deg_all_endpoints,Median_deg_all_endpoints,Mean_deg_backbone_endpoints,Median_deg_backbone_endpoints
"Scottish Lake_tax_mass",lakes,51,347,108,0.311239193083574,39,0.764705882352941,33.6,5,5,0.0980392156862745,0.128205128205128,23.7175792507205,25,29.3425925925926,40
"Little Rainbow Lake_tax_mass",lakes,52,247,65,0.263157894736842,37,0.711538461538462,24.3,5,4,0.0961538461538462,0.108108108108108,17.4453441295547,19,21.4384615384615,30
"F2P4_tax_mass",marine,52,257,70,0.272373540856031,33,0.634615384615385,19,6,6,0.115384615384615,0.181818181818182,14.727626459144,11,18.4642857142857,19
"RV2P1_tax_mass",marine,53,377,283,0.750663129973475,41,0.773584905660377,25,13,13,0.245283018867925,0.317073170731707,20.0583554376658,23,21.6925795053004,25
"Stink Lake_tax_mass",lakes,53,281,83,0.295373665480427,32,0.60377358490566,25.4,5,5,0.0943396226415094,0.15625,17.5338078291815,19,20.8072289156627,27
"Burntbridge lake_tax_mass",lakes,53,183,82,0.448087431693989,31,0.584905660377358,19,6,3,0.113207547169811,0.0967741935483871,14.431693989071,11,16.4268292682927,21.5
"F2P3_tax_mass",marine,53,266,65,0.244360902255639,29,0.547169811320755,20,6,3,0.113207547169811,0.103448275862069,14.6804511278195,11,18.5,23
"FloridaIslandE7_tax_mass",terrestrial aboveground,54,301,87,0.289036544850498,46,0.851851851851852,20.1,5,5,0.0925925925925926,0.108695652173913,17,13,26.7758620689655,35
"L3P3_tax_mass",marine,54,464,355,0.765086206896552,42,0.777777777777778,26,17,17,0.314814814814815,0.404761904761905,22.2133620689655,26,23.8464788732394,26
"F1P1_tax_mass",marine,54,244,73,0.299180327868852,29,0.537037037037037,23,7,6,0.12962962962963,0.206896551724138,15.0409836065574,9,17.958904109589,23
"Chub pond_tax_mass",lakes,54,416,117,0.28125,34,0.62962962962963,29.4,5,5,0.0925925925925926,0.147058823529412,22.2211538461538,22,24.2350427350427,29
"CR2P2_tax_mass",marine,55,377,235,0.623342175066313,40,0.727272727272727,27,11,11,0.2,0.275,19.4456233421751,21,21.4595744680851,27
"RV1P3_tax_mass",marine,55,316,235,0.743670886075949,35,0.636363636363636,22,11,11,0.2,0.314285714285714,15.8639240506329,15,17.5340425531915,22
"Beaver lake_tax_mass",lakes,56,267,78,0.292134831460674,29,0.517857142857143,24.8,6,3,0.107142857142857,0.103448275862069,17.2921348314607,16,17.7051282051282,22.5
"FloridaIslandE9_tax_mass",terrestrial aboveground,56,361,91,0.25207756232687,48,0.857142857142857,22.9,6,6,0.107142857142857,0.125,19.2049861495845,14,28.8791208791209,37.5
"Alford lake_tax_mass",lakes,56,220,62,0.281818181818182,36,0.642857142857143,22.8,6,6,0.107142857142857,0.166666666666667,16.8954545454545,19,21.008064516129,29
"L4P2_tax_mass",marine,56,460,360,0.782608695652174,43,0.767857142857143,27,15,15,0.267857142857143,0.348837209302326,21.4369565217391,22,22.9486111111111,27
"L4P1_tax_mass",marine,57,490,335,0.683673469387755,45,0.789473684210526,27,16,16,0.280701754385965,0.355555555555556,22.1755102040816,24,23.7134328358209,27
"L2P2_tax_mass",marine,58,451,339,0.751662971175166,41,0.706896551724138,27,13,13,0.224137931034483,0.317073170731707,20.5631929046563,23,22.1799410029499,27
"F2P1_tax_mass",marine,58,362,220,0.607734806629834,35,0.603448275862069,25,9,8,0.155172413793103,0.228571428571429,17.9585635359116,13,19.5409090909091,24
"Iceland stream IS7 August 2008_tax_mass",streams,59,621,397,0.639291465378422,51,0.864406779661017,42.6,6,6,0.101694915254237,0.117647058823529,28.4186795491143,39,28.9911838790932,39
"FloridaIslandE2_tax_mass",terrestrial aboveground,59,298,97,0.325503355704698,51,0.864406779661017,20.2,6,6,0.101694915254237,0.117647058823529,18.2348993288591,13,28.4175257731959,37
"RV1P1_tax_mass",marine,59,445,336,0.755056179775281,47,0.796610169491525,28,13,13,0.220338983050847,0.276595744680851,21.6831460674157,21.5,23.6056547619048,28
"CR1P2_tax_mass",marine,60,487,270,0.554414784394251,39,0.65,30,11,11,0.183333333333333,0.282051282051282,21.3901437371663,22,23.6166666666667,30
"L1P1_tax_mass",marine,60,465,121,0.260215053763441,40,0.666666666666667,25.5,6,6,0.1,0.15,21.6903225806452,25,27.8471074380165,28
"Big hope lake_tax_mass",lakes,61,328,88,0.268292682926829,36,0.590163934426229,28.4,6,6,0.0983606557377049,0.166666666666667,18.594512195122,22,23.2215909090909,29
"CR1P1_tax_mass",marine,63,518,288,0.555984555984556,41,0.650793650793651,32,11,11,0.174603174603175,0.268292682926829,22.8011583011583,24,25.0625,32
"Long Lake_tax_mass",lakes,65,417,97,0.232613908872902,36,0.553846153846154,32,10,10,0.153846153846154,0.277777777777778,22.1318944844125,26,25.3453608247423,34
"Connera lake_tax_mass",lakes,65,418,148,0.354066985645933,56,0.861538461538462,34,7,7,0.107692307692308,0.125,20.9665071770335,24,21.8209459459459,35
"Hoel lake_tax_mass",lakes,72,571,124,0.217162872154116,40,0.555555555555556,34,9,9,0.125,0.225,24.5446584938704,30,28.8266129032258,32
"Bridge brook lake_tax_mass",lakes,75,553,207,0.374321880650995,68,0.906666666666667,37,8,8,0.106666666666667,0.117647058823529,24.0940325497288,23,25.3623188405797,36
"Little Kye Burn_tax_mass",streams,79,371,72,0.194070080862534,28,0.354430379746835,18,10,8,0.126582278481013,0.285714285714286,14.0053908355795,14,18.9791666666667,23
"Mill Stream_tax_mass",streams,81,1443,465,0.322245322245322,68,0.839506172839506,48.4,8,8,0.0987654320987654,0.117647058823529,40.2695772695773,36,46.0021505376344,48
"German Creek_tax_mass",streams,86,353,100,0.28328611898017,58,0.674418604651163,18.9,9,9,0.104651162790698,0.155172413793103,14.271954674221,13,19.585,22
"Blackrock Stream_tax_mass",streams,88,375,83,0.221333333333333,60,0.681818181818182,19.4,9,9,0.102272727272727,0.15,14.544,13,20.5903614457831,24
"Sutton Stream_tax_mass",streams,88,423,81,0.191489361702128,49,0.556818181818182,26.8,9,2,0.102272727272727,0.0408163265306122,21,18,24.7592592592593,31
"SEW36_tax_mass",terrestrial belowground,89,960,250,0.260416666666667,66,0.741573033707865,41.8,9,9,0.101123595505618,0.136363636363636,30.5708333333333,31,36.116,38
"SEW09_tax_mass",terrestrial belowground,89,1039,306,0.29451395572666,74,0.831460674157303,44,10,10,0.112359550561798,0.135135135135135,33.1703561116458,36,38.5996732026144,38
"HEW10_tax_mass",terrestrial belowground,91,889,212,0.238470191226097,72,0.791208791208791,36.4,9,9,0.0989010989010989,0.125,28.6197975253093,31,35.3561320754717,36
"Ythan Estuary_tax_mass",marine,92,417,77,0.184652278177458,51,0.554347826086957,19.6,9,9,0.0978260869565217,0.176470588235294,17.8177458033573,15,26.3766233766234,35
"SEW02_tax_mass",terrestrial belowground,93,730,160,0.219178082191781,80,0.860215053763441,34.2,9,9,0.0967741935483871,0.1125,24.9205479452055,23,27.75625,34
"Dutch Microfauna food web PlotA_tax_mass",terrestrial belowground,94,844,177,0.209715639810427,61,0.648936170212766,46,10,5,0.106382978723404,0.0819672131147541,32.0201421800948,28,40.1299435028249,63
"Broad Stream_tax_mass",streams,95,565,134,0.23716814159292,71,0.747368421052632,24,11,11,0.115789473684211,0.154929577464789,18.5787610619469,20,22.2313432835821,27
"Bure Stream_tax_mass",streams,95,1938,603,0.311145510835913,90,0.947368421052632,62,14,14,0.147368421052632,0.155555555555556,48.0273477812177,46,56.8217247097844,61
"Dutch Microfauna food web PlotB_tax_mass",terrestrial belowground,95,588,213,0.362244897959184,70,0.736842105263158,41,10,8,0.105263157894737,0.114285714285714,29.3945578231293,18,33.9741784037559,52
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2_tax_mass",terrestrial aboveground,97,776,211,0.271907216494845,88,0.907216494845361,31.6,10,10,0.103092783505155,0.113636363636364,22.5657216494845,20,29.2369668246446,32
"Healy Creek_tax_mass",streams,99,634,133,0.209779179810726,70,0.707070707070707,26,12,12,0.121212121212121,0.171428571428571,19.7807570977918,19,25.5,32
"Dutch Microfauna food web PlotC_tax_mass",terrestrial belowground,99,901,469,0.520532741398446,74,0.747474747474748,49,13,13,0.131313131313131,0.175675675675676,37.6004439511654,37,43.8208955223881,62
"Kye Burn_tax_mass",streams,101,629,140,0.222575516693164,75,0.742574257425743,26,12,12,0.118811881188119,0.16,20.2448330683625,22,26.5535714285714,31
"SEW35_tax_mass",terrestrial belowground,101,1184,278,0.234797297297297,69,0.683168316831683,46,11,11,0.108910891089109,0.159420289855072,34.1157094594595,38,39.3830935251799,39
"Chilean Intertidal El Quisco_tax_mass",marine,101,1347,314,0.233110616184113,68,0.673267326732673,44.2,10,6,0.099009900990099,0.0882352941176471,34.5820341499629,35,40.4171974522293,52
"SEW05_tax_mass",terrestrial belowground,101,1239,309,0.249394673123487,78,0.772277227722772,52,11,11,0.108910891089109,0.141025641025641,36.4205004035513,38,43.4288025889968,53
"Chilean Intertidal Curaumilla_tax_mass",marine,104,1340,314,0.234328358208955,68,0.653846153846154,42.4,10,6,0.0961538461538462,0.0882352941176471,34.4611940298507,35,40.3025477707006,52
"SEW01_tax_mass",terrestrial belowground,104,1245,413,0.331726907630522,84,0.807692307692308,45.2,10,10,0.0961538461538462,0.119047619047619,35.6803212851406,37,38.5605326876513,42
"Chilean Intertidal Los Molles_tax_mass",marine,105,1352,308,0.227810650887574,67,0.638095238095238,43,11,6,0.104761904761905,0.0895522388059701,34.2647928994083,35,40.0308441558442,51
"Loddon Stream_tax_mass",streams,105,2552,646,0.253134796238245,98,0.933333333333333,65,14,14,0.133333333333333,0.142857142857143,55.3413009404389,51,68.0944272445821,65
"Chilean Intertidal Las Cruces_tax_mass",marine,105,1357,311,0.229182019159912,67,0.638095238095238,43,11,6,0.104761904761905,0.0895522388059701,34.3780397936625,35,40.2652733118971,51
"Lyde Stream_tax_mass",streams,110,2041,593,0.290543851053405,97,0.881818181818182,73,12,12,0.109090909090909,0.123711340206186,49.062224399804,47,57.9392917369309,64
"Dempsters Stream_tax_mass",streams,110,966,211,0.218426501035197,84,0.763636363636364,33,12,12,0.109090909090909,0.142857142857143,24.3178053830228,25,29.7559241706161,35
"Canton Creek_tax_mass",streams,110,708,136,0.192090395480226,91,0.827272727272727,25.5,11,11,0.1,0.120879120879121,20.0480225988701,19,25.9338235294118,29
"AEW18_tax_mass",terrestrial belowground,111,1609,413,0.256681168427595,89,0.801801801801802,55.4,11,11,0.0990990990990991,0.123595505617978,42.4822871348664,43,53.4515738498789,53
"Stony Stream_tax_mass",streams,113,832,179,0.215144230769231,89,0.787610619469027,30,16,16,0.141592920353982,0.179775280898876,23.3149038461538,25.5,28.7262569832402,34
"AEW30_tax_mass",terrestrial belowground,114,1423,324,0.227687983134223,89,0.780701754385965,51,13,13,0.114035087719298,0.146067415730337,37.720309205903,43,44.9799382716049,48
"HEW04_tax_mass",terrestrial belowground,116,1196,301,0.251672240802676,100,0.862068965517241,43.9,12,12,0.103448275862069,0.12,32.1112040133779,36,36.1661129568106,40
"Gearagh_tax_mass",terrestrial belowground,117,383,65,0.169712793733681,65,0.555555555555556,20,13,9,0.111111111111111,0.138461538461538,15.4856396866841,17,20.5461538461538,32
"SEW08_tax_mass",terrestrial belowground,118,1897,481,0.253558249868213,89,0.754237288135593,59.4,12,12,0.101694915254237,0.134831460674157,46.5709014233,50,55.9002079002079,58
"SEW48_tax_mass",terrestrial belowground,118,1883,483,0.256505576208178,104,0.88135593220339,59,15,15,0.127118644067797,0.144230769230769,45.4067976633032,49,52.9761904761905,54
"SEW37_tax_mass",terrestrial belowground,118,2031,544,0.267848350566224,106,0.898305084745763,62,13,13,0.110169491525424,0.122641509433962,48.3579517479074,52,55.3409926470588,59
"SEW41_tax_mass",terrestrial belowground,118,1757,488,0.277746158224246,105,0.889830508474576,58,14,14,0.11864406779661,0.133333333333333,44.6846898121799,48,50.7325819672131,52
"SEW04_tax_mass",terrestrial belowground,120,1604,383,0.238778054862843,107,0.891666666666667,52.5,12,12,0.1,0.11214953271028,39.8584788029925,45,44.2624020887728,47.5
"AEW11_tax_mass",terrestrial belowground,120,1865,456,0.244504021447721,105,0.875,61,12,12,0.1,0.114285714285714,46.6804289544236,49,56.9462719298246,57
"AEW27_tax_mass",terrestrial belowground,120,1346,289,0.214710252600297,96,0.8,49,13,13,0.108333333333333,0.135416666666667,36.5854383358098,37,47.9653979238754,55
"SEW43_tax_mass",terrestrial belowground,120,1814,420,0.231532524807056,93,0.775,59.5,12,12,0.1,0.129032258064516,45.374862183021,49,53.8452380952381,54
"AEW06_tax_mass",terrestrial belowground,120,1745,389,0.222922636103152,83,0.691666666666667,61.5,12,12,0.1,0.144578313253012,43.8744985673352,48,54.646529562982,62
"AEW01_tax_mass",terrestrial belowground,121,1841,434,0.23574144486692,113,0.933884297520661,61,14,14,0.115702479338843,0.123893805309735,46.4220532319392,50,54.2177419354839,60
"Test Stream_tax_mass",streams,121,3195,799,0.250078247261346,114,0.942148760330578,76.2,12,12,0.0991735537190083,0.105263157894737,61.2356807511737,59,70.6733416770964,75
"SEW03_tax_mass",terrestrial belowground,122,2103,590,0.280551592962435,107,0.877049180327869,63.3,12,12,0.0983606557377049,0.11214953271028,48.9405611031859,55,54.5923728813559,57.5
"AEW03_tax_mass",terrestrial belowground,122,1845,452,0.244986449864499,104,0.852459016393443,57.3,12,12,0.0983606557377049,0.115384615384615,45.7094850948509,51,54.5077433628319,60
"HEW03_tax_mass",terrestrial belowground,123,1668,482,0.288968824940048,111,0.902439024390244,53.4,12,12,0.0975609756097561,0.108108108108108,40.4886091127098,44,44.75622406639,47
"AEW25_tax_mass",terrestrial belowground,123,1854,478,0.25782092772384,105,0.853658536585366,58,14,14,0.113821138211382,0.133333333333333,43.4239482200647,46,52.8953974895397,58
"SEW18_tax_mass",terrestrial belowground,123,1895,534,0.28179419525066,81,0.658536585365854,61,14,14,0.113821138211382,0.172839506172839,47.6300791556728,52,54.9588014981273,56
"AEW04_tax_mass",terrestrial belowground,125,1838,499,0.271490750816104,91,0.728,58,13,13,0.104,0.142857142857143,46.1991294885745,50,57.9428857715431,59
"HEW02_tax_mass",terrestrial belowground,126,1779,465,0.261382799325464,104,0.825396825396825,55,14,14,0.111111111111111,0.134615384615385,42.3580663293985,48,50.4623655913978,54
"AEW05_tax_mass",terrestrial belowground,126,1876,430,0.229211087420043,96,0.761904761904762,58,14,14,0.111111111111111,0.145833333333333,46.7851812366738,50,59.1918604651163,59
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 _tax_mass",terrestrial aboveground,126,1205,244,0.202489626556017,106,0.841269841269841,35.9,13,13,0.103174603174603,0.122641509433962,27.5609958506224,23,39.875,40
"SEW06_tax_mass",terrestrial belowground,127,1991,579,0.290808638874937,115,0.905511811023622,62.8,13,13,0.102362204724409,0.11304347826087,45.2651933701657,45,51.4490500863558,63
"Wensum Stream_tax_mass",streams,127,3504,915,0.261130136986301,121,0.952755905511811,82,14,14,0.110236220472441,0.115702479338843,63.8127853881279,61,73.1224043715847,73
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 _tax_mass",terrestrial aboveground,128,1261,302,0.23949246629659,111,0.8671875,36.7,13,13,0.1015625,0.117117117117117,27.5210150674068,26,37.726821192053,40
"AEW07_tax_mass",terrestrial belowground,129,1958,444,0.226762002042901,94,0.728682170542636,61.6,13,13,0.10077519379845,0.138297872340426,46.5531154239019,50,57.9346846846847,64.5
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 _tax_mass",terrestrial aboveground,131,1390,279,0.200719424460432,116,0.885496183206107,38.4,13,13,0.099236641221374,0.112068965517241,28.6230215827338,26,38.6021505376344,38
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 _tax_mass",terrestrial aboveground,132,1285,338,0.263035019455253,112,0.848484848484849,36,14,14,0.106060606060606,0.125,27.7587548638132,25,37.844674556213,41
"HEW11_tax_mass",terrestrial belowground,132,1931,471,0.243915069911963,101,0.765151515151515,59.3,13,13,0.0984848484848485,0.128712871287129,46.5535991714138,51,58.1326963906582,67
"HEW16_tax_mass",terrestrial belowground,132,2275,554,0.243516483516484,86,0.651515151515151,72.3,13,13,0.0984848484848485,0.151162790697674,51.6545054945055,55,63.5947653429603,73
"SEW07_tax_mass",terrestrial belowground,132,2787,676,0.242554718335127,107,0.810606060606061,78,14,14,0.106060606060606,0.130841121495327,60.2551130247578,68,70.3158284023669,75
"AEW09_tax_mass",terrestrial belowground,134,2374,599,0.252316764953665,106,0.791044776119403,71,14,14,0.104477611940299,0.132075471698113,54.7552653748947,61,63.2579298831386,66
"HEW01_tax_mass",terrestrial belowground,134,1573,340,0.216147488874762,88,0.656716417910448,53,14,13,0.104477611940299,0.147727272727273,39.5206611570248,45,51.425,58
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2_tax_mass",terrestrial aboveground,136,1301,302,0.232129131437356,125,0.919117647058823,37,15,14,0.110294117647059,0.112,28.5734050730208,24,41.4966887417219,48
"AEW08_tax_mass",terrestrial belowground,136,2305,599,0.259869848156182,106,0.779411764705882,65.9,14,14,0.102941176470588,0.132075471698113,51.5626898047722,55,63.30550918197,64
"HEW22_tax_mass",terrestrial belowground,137,2138,515,0.24087932647334,105,0.766423357664234,64,15,15,0.109489051094891,0.142857142857143,46.7984097287184,50,58.7864077669903,64
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1_tax_mass",terrestrial aboveground,139,1558,324,0.20795892169448,129,0.928057553956835,43,15,15,0.107913669064748,0.116279069767442,31.4249037227214,26,42.7469135802469,47
"HEW17_tax_mass",terrestrial belowground,139,2110,494,0.234123222748815,110,0.79136690647482,65,15,15,0.107913669064748,0.136363636363636,47.2895734597156,50,59.4261133603239,65
"HEW06_tax_mass",terrestrial belowground,142,2346,525,0.223785166240409,81,0.570422535211268,68.6,14,14,0.0985915492957746,0.172839506172839,51.618073316283,55,65.647619047619,78
"HEW12_tax_mass",terrestrial belowground,143,2516,568,0.225755166931638,117,0.818181818181818,68.2,14,13,0.0979020979020979,0.111111111111111,53.9093799682035,57,67.4911971830986,73
"HEW13_tax_mass",terrestrial belowground,144,2154,462,0.214484679665738,102,0.708333333333333,64.3,14,14,0.0972222222222222,0.137254901960784,48.7757660167131,52,61.7705627705628,68
"AEW17_tax_mass",terrestrial belowground,145,2864,700,0.244413407821229,111,0.76551724137931,78,16,16,0.110344827586207,0.144144144144144,60.2566340782123,66,73.0021428571429,79
"HEW21_tax_mass",terrestrial belowground,146,1999,421,0.210605302651326,115,0.787671232876712,58,16,15,0.10958904109589,0.130434782608696,43.2066033016508,45,55.1472684085511,63
"HEW47_tax_mass",terrestrial belowground,148,3073,822,0.26749105109014,120,0.810810810810811,84.4,15,15,0.101351351351351,0.125,62.6335828180931,67,74.4020681265207,85
"AEW02_tax_mass",terrestrial belowground,153,3345,820,0.245142002989537,128,0.836601307189543,84.4,15,15,0.0980392156862745,0.1171875,65.9004484304933,71,78.8323170731707,89
"AEW49_tax_mass",terrestrial belowground,154,2883,699,0.242455775234131,123,0.798701298701299,75,18,18,0.116883116883117,0.146341463414634,58.1713492889351,62,71.222460658083,74
"HEW36_tax_mass",terrestrial belowground,160,3251,820,0.252230083051369,124,0.775,80,17,17,0.10625,0.137096774193548,61.2820670562904,67,75.2536585365854,81
"Carpinteria_tax_mass",terrestrial aboveground,160,3554,867,0.243950478334271,139,0.86875,86.5,16,16,0.1,0.115107913669065,62.6972425436128,63,77.5346020761246,87
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1_tax_mass",terrestrial aboveground,163,2120,465,0.219339622641509,151,0.926380368098159,50,20,20,0.122699386503067,0.132450331125828,38.6183962264151,35,52.6731182795699,58
"HEW05_tax_mass",terrestrial belowground,168,3138,692,0.220522625876354,134,0.797619047619048,77,19,19,0.113095238095238,0.141791044776119,59.6051625239006,63,75.4602601156069,80
"FloridaIslandE1_tax_mass",terrestrial aboveground,210,3559,738,0.207361618432144,202,0.961904761904762,74,24,24,0.114285714285714,0.118811881188119,62.0882270300646,40,99.809620596206,122
"FloridaIslandE3_tax_mass",terrestrial aboveground,211,3669,742,0.202234941400927,203,0.962085308056872,76.6,21,21,0.0995260663507109,0.103448275862069,63.4854183701281,41,100.973045822102,123
"Caribbean Reef_tax_mass",marine,247,3311,631,0.19057686499547,220,0.890688259109312,49.8,25,20,0.101214574898785,0.0909090909090909,56.8498942917548,31,94.7852614896989,113
"Kongsfjorden_tax_mass",marine,263,1603,278,0.173424828446663,178,0.67680608365019,26,27,13,0.102661596958175,0.0730337078651685,32.9301310043668,19,77.6312949640288,85.5
"Lough Hyne_tax_mass",marine,346,5052,889,0.17596991290578,271,0.783236994219653,58.9,35,20,0.101156069364162,0.0738007380073801,50.284045922407,41,79.9825646794151,115
"Weddell Sea_tax_mass",marine,490,16041,3144,0.195997755750888,422,0.861224489795918,137,50,50,0.102040816326531,0.118483412322275,105.983417492675,89,149.40346692112,184
"Chesapeake Bay_tax_mass",marine,521,15746,3235,0.205449002921377,350,0.671785028790787,179,64,64,0.122840690978887,0.182857142857143,119.50247681951,131,126.646367851623,154
