Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
tau1p00_checkconnfalse,50,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,261,14239
tau1p00_checkconnfalse,50,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,435,14065
tau1p00_checkconnfalse,50,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,204,14296
tau1p00_checkconnfalse,50,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,235,14265
tau1p00_checkconnfalse,50,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,204,14296
tau1p00_checkconnfalse,50,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,206,14294
tau1p00_checkconnfalse,50,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,50,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,379,14121
tau1p00_checkconnfalse,50,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14499,195,14304
tau1p00_checkconnfalse,50,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,459,14041
tau1p00_checkconnfalse,60,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,272,14228
tau1p00_checkconnfalse,60,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,226,14274
tau1p00_checkconnfalse,60,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,253,14247
tau1p00_checkconnfalse,60,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,267,14233
tau1p00_checkconnfalse,60,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,343,14157
