Version,K,TrainRatio,ExperimentID,Seed,Threshold,EmpiricalNetworkXMeanTrophicLevel,EmpiricalNetworkXTrophicLevelStatusCode,PseudoNetworkXMeanTrophicLevel,PseudoNetworkXTrophicLevelNumSpeciesFull,PseudoNetworkXTrophicLevelNumSpeciesLargest,PseudoNetworkXTrophicLevelStatusCode,Foodweb,SourceFile,FiniteValue,FiniteReference
WLNM_dir_neg,10,60,50,1701054169,0.5,1.83578367157,0,1.8328920768700001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,1,114049359,0.5,2.6979796311599999,0,,92,90,3,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,2,114049360,0.5,2.6979796311599999,0,,92,92,2,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,3,114049361,0.5,2.6979796311599999,0,,92,90,2,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,4,114049362,0.5,2.6979796311599999,0,5.2492683212699998,92,92,0,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,5,114049363,0.5,2.6979796311599999,0,,92,91,2,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,6,114049364,0.5,2.6979796311599999,0,,92,92,2,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,7,114049365,0.5,2.6979796311599999,0,,92,91,2,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,8,114049366,0.5,2.6979796311599999,0,,92,91,3,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,9,114049367,0.5,2.6979796311599999,0,9.6907213173399995,92,91,0,Ythan Estuary,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Ythan Estuary_tax_mass_results_random_wlnm_dir_neg.csv,True,True
