|====================================================================================|
|    Iteration   |      AUC       |  Time Elapsed  |Encoded subgraph|   Train ratio  |
|                |                |   (hh:mm:ss)   |      (K)       |       %        |
|====================================================================================|
|             44 |         0.7861 |       00:00:01 |             10 |            90% |
|             45 |         0.2809 |       00:00:01 |             10 |            90% |
|             46 |         0.5567 |       00:00:01 |             10 |            90% |
|             47 |         0.4665 |       00:00:01 |             10 |            90% |
|             48 |         0.4536 |       00:00:01 |             10 |            90% |
|             49 |         0.6289 |       00:00:01 |             10 |            90% |
|             50 |         0.6340 |       00:00:01 |             10 |            90% |
|              1 |         0.3454 |       00:00:01 |             11 |            90% |
|              2 |         0.3505 |       00:00:01 |             11 |            90% |
|              3 |         0.9330 |       00:00:01 |             11 |            90% |
|              4 |         0.7139 |       00:00:02 |             11 |            90% |
|              5 |         0.3479 |       00:00:01 |             11 |            90% |
|              6 |         0.0103 |       00:00:01 |             11 |            90% |
|              7 |         0.4742 |       00:00:01 |             11 |            90% |
|              8 |         0.0077 |       00:00:01 |             11 |            90% |
|              9 |         0.5000 |       00:00:01 |             11 |            90% |
|             10 |         0.5438 |       00:00:01 |             11 |            90% |
|             11 |         0.5567 |       00:00:01 |             11 |            90% |
|             12 |         0.5670 |       00:00:01 |             11 |            90% |
|             13 |         0.6443 |       00:00:01 |             11 |            90% |
|             14 |         0.7964 |       00:00:01 |             11 |            90% |
|             15 |         0.6624 |       00:00:01 |             11 |            90% |
|             16 |         0.3814 |       00:00:01 |             11 |            90% |
|             17 |         0.8634 |       00:00:01 |             11 |            90% |
|             18 |         0.7139 |       00:00:01 |             11 |            90% |
|             19 |         0.9098 |       00:00:01 |             11 |            90% |
|             20 |         0.7010 |       00:00:01 |             11 |            90% |
|             21 |         0.8325 |       00:00:01 |             11 |            90% |
|             22 |         0.8222 |       00:00:01 |             11 |            90% |
|             23 |         0.8969 |       00:00:02 |             11 |            90% |
|             24 |         0.6959 |       00:00:01 |             11 |            90% |
|             25 |         0.9356 |       00:00:01 |             11 |            90% |
|             26 |         0.8814 |       00:00:01 |             11 |            90% |
|             27 |         0.3737 |       00:00:01 |             11 |            90% |
|             28 |         0.8402 |       00:00:01 |             11 |            90% |
|             29 |         0.6985 |       00:00:01 |             11 |            90% |
|             30 |         0.9021 |       00:00:01 |             11 |            90% |
|             31 |         0.8454 |       00:00:01 |             11 |            90% |
|             32 |         0.8351 |       00:00:01 |             11 |            90% |
|             33 |         0.0026 |       00:00:01 |             11 |            90% |
|             34 |         0.0103 |       00:00:01 |             11 |            90% |
|             35 |         0.0103 |       00:00:01 |             11 |            90% |
|             36 |         0.8247 |       00:00:01 |             11 |            90% |
|             37 |         0.9330 |       00:00:01 |             11 |            90% |
|             38 |         0.0593 |       00:00:01 |             11 |            90% |
|             39 |         0.8402 |       00:00:01 |             11 |            90% |
|             40 |         0.9149 |       00:00:01 |             11 |            90% |
|             41 |         0.8428 |       00:00:01 |             11 |            90% |
|             42 |         0.9536 |       00:00:01 |             11 |            90% |
|             43 |         0.4820 |       00:00:01 |             11 |            90% |
|             44 |         0.7629 |       00:00:01 |             11 |            90% |
|             45 |         0.5722 |       00:00:01 |             11 |            90% |
